LOG PORTFOLIOS
User: 13 | Product: MG4 | Portofolio: 10295833 | Gain: 295833 | Initial: 10000000 | Soulte: 10000000 | GainM: 295833
User: 14 | Product: MG 2 | Portofolio: 21275000 | Gain: 21216667 | Initial: 58333 | Soulte: 20000000 | GainM: 1275000
User: 14 | Product: MG 3 | Portofolio: 15253750 | Gain: 15239167 | Initial: 14583 | Soulte: 15000000 | GainM: 253750
User: 18 | Product: MG1 | Portofolio: 74068800 | Gain: 73819200 | Initial: 249600 | Soulte: 70200000 | GainM: 3868800
User: 18 | Product: MG 2 | Portofolio: 25513542 | Gain: 25484028 | Initial: 29514 | Soulte: 25000000 | GainM: 513542
User: 19 | Product: MG1 | Portofolio: 11274063 | Gain: 11269584 | Initial: 4479 | Soulte: 10750000 | GainM: 524063
User: 19 | Product: MG 2 | Portofolio: 10208889 | Gain: 10182222 | Initial: 26667 | Soulte: 10000000 | GainM: 208889
User: 20 | Product: MG 2 | Portofolio: 54128846 | Gain: 978846 | Initial: 53150000 | Soulte: 53150000 | GainM: 978846
User: 21 | Product: MG1 | Portofolio: 89907300 | Gain: 89691933 | Initial: 215367 | Soulte: 85200000 | GainM: 4707300
User: 21 | Product: MG 2 | Portofolio: 21649667 | Gain: 21618556 | Initial: 31111 | Soulte: 21400000 | GainM: 249667
User: 27 | Product: MG1 | Portofolio: 13209507 | Gain: 13194527 | Initial: 14980 | Soulte: 12840000 | GainM: 369507
User: 31 | Product: MG1 | Portofolio: 150787500 | Gain: 150375000 | Initial: 412500 | Soulte: 150000000 | GainM: 787500
User: 31 | Product: MG 2 | Portofolio: 54112500 | Gain: 54025000 | Initial: 87500 | Soulte: 50000000 | GainM: 4112500
User: 31 | Product: MG 3 | Portofolio: 50787500 | Gain: 787500 | Initial: 50000000 | Soulte: 50000000 | GainM: 787500
User: 33 | Product: MG1 | Portofolio: 10897653 | Gain: 10872375 | Initial: 25278 | Soulte: 10700000 | GainM: 197653
User: 33 | Product: MG 2 | Portofolio: 10662500 | Gain: 10608333 | Initial: 54167 | Soulte: 10000000 | GainM: 662500
User: 35 | Product: MG1 | Portofolio: 10897653 | Gain: 10872375 | Initial: 25278 | Soulte: 10700000 | GainM: 197653
User: 36 | Product: MG 2 | Portofolio: 10706667 | Gain: 10648889 | Initial: 57778 | Soulte: 10000000 | GainM: 706667
User: 36 | Product: MG 3 | Portofolio: 10184444 | Gain: 10182222 | Initial: 2222 | Soulte: 10000000 | GainM: 184444
User: 37 | Product: MG1 | Portofolio: 25450000 | Gain: 25288889 | Initial: 161111 | Soulte: 25000000 | GainM: 450000
User: 37 | Product: MG 2 | Portofolio: 26766667 | Gain: 26622223 | Initial: 144444 | Soulte: 25000000 | GainM: 1766667
User: 37 | Product: MG 3 | Portofolio: 51087500 | Gain: 51025000 | Initial: 62500 | Soulte: 50000000 | GainM: 1087500
User: 38 | Product: MG1 | Portofolio: 75783333 | Gain: 75366665 | Initial: 416668 | Soulte: 75000000 | GainM: 783333
User: 38 | Product: MG 3 | Portofolio: 25991667 | Gain: 25838195 | Initial: 153472 | Soulte: 25000000 | GainM: 991667
User: 38 | Product: MG4 | Portofolio: 6062667 | Gain: 62667 | Initial: 6000000 | Soulte: 6000000 | GainM: 62667
User: 39 | Product: MG1 | Portofolio: 6526993 | Gain: 6525819 | Initial: 1174 | Soulte: 6500000 | GainM: 26993
User: 41 | Product: MG1 | Portofolio: 6417667 | Gain: 6410667 | Initial: 7000 | Soulte: 6000000 | GainM: 417667
User: 42 | Product: MG1 | Portofolio: 53533333 | Gain: 53244444 | Initial: 288889 | Soulte: 50000000 | GainM: 3533333
User: 42 | Product: MG 2 | Portofolio: 52722222 | Gain: 52577778 | Initial: 144444 | Soulte: 50000000 | GainM: 2722222
User: 42 | Product: MG 3 | Portofolio: 51983333 | Gain: 51676389 | Initial: 306944 | Soulte: 50000000 | GainM: 1983333
